##Year		V mag upr lt
1896.292700      14.22
1898.184030      13.25
## Year	   B mag upr limits
1898.96   14.13
1899.025  14.13
1899.266   14.13
1899.953   14.13
1899.992   14.13
1900.019    14.13
1900.295    13.04
1900.947    14.13
1901.046    14.13
1901.114     14.13
1901.139     14.13
1901.215     13.04
1901.264      13.04
##Year		V mag upr lt
1906.066   	14.13
1906.069294    	13.66          
1906.145694     13.66   
1906.165154   	13.09   
1906.227750    	12.11   
1906.238617     13.02    
1906.312563     13.39    
1906.367172     12.93   
1906.894039    	13.11   
1906.935224     12.81
1906.965232    	13.26   
1906.987001     14.05     
1907.014490     12.67
1907.044461     12.16 
1907.112970    	13.31 
1907.145768     12.10 
1907.186674    	12.00   
1907.211490     12.12
1907.408263     13.21 
1908.008988     12.91  
1908.017296     13.52 
1908.085186    	12.02 
1908.096284     13.60 
1908.164503     13.90 
1908.178058     13.75 
1908.189028    	13.23    
1908.216225     12.71 
1908.232635    	12.84     
1908.254586     12.26 
1908.257188     13.15 
1908.259913     13.41 
1908.270757    	13.16   
1908.317037     13.03
1908.328025    	12.35     
1908.363453     12.57
## Year		V mag upr limits
1910.135     12.64
1910.180     13.73
1910.921     12.64
1910.963      12.64
1911.754      12.64
1911.891      12.64
1911.951      13.73
1911.991      12.64
1912.003      12.64
1912.107      13.73
1912.284       13.73
##Year      	V mag uppr lt
1913.025483      12.38
1913.097  	14.
1913.118335      12.92
1913.162   	14.
1913.165   	14.
1913.182   	14.
1913.196   	14.
1913.896979      12.70
1913.897073      12.87
1913.938049      13.86
1913.967955      12.57
1913.989879      12.30
1913.992750      12.34
1913.995474      12.72
1914.014487      12.03
1914.047329      13.07
1914.123711      12.23
1914.123828      12.53
1914.142863      12.54
1914.142944      13.68
1914.152485      12.27
1914.173006      12.76
1914.216651      12.94
1914.222127      12.08
1914.285135      12.08
1914.304236      12.67
## Year		V mag upr limit
1922.211083      12.79
1922.880514      13.00
1922.906    	 14.22
1922.910640      13.69
1923.036254      12.90
1923.129264      12.73
## Year		V mag upr limit
1924.10    	 12.67
1925.151140      13.71
1925.167564      12.61
1925.293278      12.69
## Year	   V mag upr limit
1934.844   13.1
## Year	    V mag upr limits
1935.10     13.10
1935.112   14.65
1935.16     13.10
1935.17     13.10
1935.932    13.73
1935.962   13.73
1936.003    13.73
1936.078    13.73
1936.089    13.73
1936.14      13.30
1936.165   13.73
1936.238    13.73
## Year		V mag upr limit
1945.847638    14.06
1945.937  	14.74
## Year	    V mag upr limits
1947.07     13.3
1947.114    14.21
1947.131    14.13
1947.270    13.7
#1947.272    15.7
#1947.273    15.7
1947.278    13.7
#1947.284    15.7
1947.297    13.7
#1947.300    15.7
## Year	    V mag upr limits
1957.08     14.8
1957.09      14.8
1957.096    14.8
1957.167   13.7
1957.22    13.7
1957.25      13.7
1957.26      14.2
1957.307    14.8
