##Year		V mag upr lt
1906.066   	14.13
1906.069294    	13.66          
1906.145694     13.66   
1906.165154   	13.09   
1906.227750    	12.11   
1906.238617     13.02    
1906.312563     13.39    
1906.367172     12.93   
1906.894039    	13.11   
1906.935224     12.81
1906.965232    	13.26   
1906.987001     14.05     
1907.014490     12.67
1907.044461     12.16 
1907.112970    	13.31 
1907.145768     12.10 
1907.186674    	12.00   
1907.211490     12.12
1907.408263     13.21 
1908.008988     12.91  
1908.017296     13.52 
1908.085186    	12.02 
1908.096284     13.60 
1908.164503     13.90 
1908.178058     13.75 
1908.189028    	13.23    
1908.216225     12.71 
1908.232635    	12.84     
1908.254586     12.26 
1908.257188     13.15 
1908.259913     13.41 
1908.270757    	13.16   
1908.317037     13.03
1908.328025    	12.35     
1908.363453     12.57
