##Year      	V mag uppr lt
1913.025483      12.38
1913.097  	14.
1913.118335      12.92
1913.162   	14.
1913.165   	14.
1913.182   	14.
1913.196   	14.
1913.896979      12.70
1913.897073      12.87
1913.938049      13.86
1913.967955      12.57
1913.989879      12.30
1913.992750      12.34
1913.995474      12.72
1914.014487      12.03
1914.047329      13.07
1914.123711      12.23
1914.123828      12.53
1914.142863      12.54
1914.142944      13.68
1914.152485      12.27
1914.173006      12.76
1914.216651      12.94
1914.222127      12.08
1914.285135      12.08
1914.304236      12.67
